Organization_ID,Organization_Name
TAU_KAPPA_EPSILON_01,Tau Kappa Epsilon
TAU_SIGMA_01,Tau Sigma
THAI_STU_UNION_01,Thai Student Union
THE_BEAT_AT_UCSD_01,The Beat at UCSD
THE_GENERAL_STORE_COOP_01,The General Store Co-op
THE_NONTRADITIONAL_STUS_ASSOC_01,The Non-Traditional Students Association
THEMED_ENTERTAINMENT_ASSOC_UC__01,Themed Entertainment Association @ UC San Diego
THETA_TAU_AT_UC_SAN_DIEGO_01,Theta Tau at UC San Diego
TIJUANA_YOUTH_MIGRANT_MENTOR_N_01,Tijuana Youth Migrant Mentor Network (TYMMN)
TOKENS_01,Tokens
TRANSFERS_IN_SCI_01,Transfers in Science
TREBLE_SINGERS_AT_UC_SAN_DIEGO_01,"Treble Singers at UC San Diego, The"
TREBLES_THE_01,"Trebles, The"
TRITON_A_CAPPELLA_COMMUNITY_01,Triton A Cappella Community
TRITON_ACTUARIAL_SOCIETY_01,Triton Actuarial Society
TRITON_BAJA_01,Triton Baja
TRITON_BALL_01,Triton Ball
TRITON_BRAIN_INJURY_NETWORK_01,Triton Brain Injury Network
TRITON_BUSINESS_SOCIETY_01,Triton Business Society
TRITON_CREATIVES_01,Triton Creatives
TRITON_DROIDS_01,Triton Droids
TRITON_ENG_STU_COUNCIL_01,Triton Engineering Student Council
TRITON_FIGHTERS_01,Triton Fighters
TRITON_FLEX_01,Triton Flex
TRITON_FOODIE_01,Triton Foodie
TRITON_GAMING_01,Triton Gaming
TRITON_MINECRAFT_01,Triton Minecraft
TRITON_NEUROTECH_01,Triton NeuroTech
TRITON_QUANTITATIVE_TRADING_01,Triton Quantitative Trading
TRITON_SMASH_01,Triton Smash
TRITON_SOFTWARE_ENG_01,Triton Software Engineering
TRITON_SOLAR_CAR_01,Triton Solar Car
TRITON_SWING_DANCE_01,Triton Swing Dance
TRITON_TAILS_FURRIES_AT_UC_SAN_01,Triton Tails - Furries at UC San Diego
TRITON_XR_01,Triton XR
TRITONTHENIX_01,TritonThenix
TRITONTUBERS_01,TritonTubers
TRITONES_AT_UC_SAN_DIEGO_01,Tritones at UC San Diego
TRITONS_ADOPTEE_COLLECTIVE_01,Tritons Adoptee Collective
TRITONS_FOR_ISRAEL_01,Tritons For Israel
TRITONS_IN_RECOVERY_01,Tritons in Recovery
TURKISH_UNDERGRAD_ORG_01,Turkish Undergrad Organization
UCSD_01,UCSD
UFGM_INITIATIVE_01,UFGM Initiative
UNICEF_CLUB_UC_SAN_DIEGO_01,UNICEF Club @ UC San Diego
UNDERGRADUATE_BIOINFORMATICS_C_01,Undergraduate Bioinformatics Club (UBIC)
UNDERGRADUATE_ECONOMICS_SOCIET_01,Undergraduate Economics Society at UC San Diego
UNDERGRADUATE_INVESTMENT_SOCIE_01,Undergraduate Investment Society
UNDERGRADUATE_LAW_REVIEW_AT_UC_01,Undergraduate Law Review at UC San Diego
UNDERGRADUATE_MDPHD_SOCIETY_UM_01,Undergraduate MD-PhD Society (UMPS) at UC San Diego
UNDERGRADUATE_WOMEN_IN_COMP_AT_01,Undergraduate Women in Computing at UC San Diego
UNIVERSITY_CHURCH_CHINESE_CHRI_01,University Church Chinese Christian Fellowship (UCCCF)
VERTICAL_FLIGHT_SOCIETY_UC_SAN_01,Vertical Flight Society @ UC San Diego
VIDEO_GAME_DEVELOPMENT_CLUB_VG_01,Video Game Development Club (VGDC) at UC San Diego
VIETNAMESE_STU_ASSOC_01,Vietnamese Student Association
WOMEN_IN_BUSINESS_01,Women in Business
WOMEN_IN_SCI_SOCIETY_AT_UC_SAN_01,Women in Science Society at UC San Diego
WOMENS_CLUB_BASKETBALL_UC_SAN__01,Women's Club Basketball @ UC San Diego
WOMENS_NETWORK_AT_UC_SAN_DIEGO_01,"Women's Network at UC San Diego, The"
YES_YOUTH_EMPOWERMENT_IN_SCI_01,Y.E.S - Youth Empowerment in Science
YALLA_LETS_TALK_AT_UC_SAN_DIEG_01,"Yalla, Lets Talk! at UC San Diego"
YONDER_DEEP_01,Yonder Deep
YOUNG_PLANNERS_SOCIETY_01,Young Planners Society
ZOR_AT_UC_SAN_DIEGO_01,Zor at UC San Diego
GRAPHITE_02,graphite
HKN_01,hkn
